Player,Year,PPG,APG,RPG,SPG,BPG,FG%,eFG%,2P%,3P%,FT%
Alfred McGuire*,1952,3.5254237288135593,1.8135593220338984,2.0508474576271185,,,0.431,0.431,0.431,,0.525
Dave Minor,1952,8.263157894736842,2.807017543859649,4.824561403508772,,,0.354,0.354,0.354,,0.765
Ralph O'Brien,1952,9.03125,1.9375,1.90625,,,0.372,0.372,0.372,,0.819
Wally Osterkorn,1952,7.409090909090909,1.7727272727272727,6.7272727272727275,,,0.351,0.351,0.351,,0.594
Mel Payton,1952,2.8666666666666667,1.0,1.8444444444444446,,,0.386,0.386,0.386,,0.75
John Pilch,1952,0.5555555555555556,0.2222222222222222,1.0,,,0.1,0.1,0.1,,0.5
Ray Ragelis,1952,1.3333333333333333,0.6078431372549019,1.4901960784313726,,,0.26,0.26,0.26,,0.621
Sam Ranzino,1952,2.2051282051282053,0.6410256410256411,1.0,,,0.333,0.333,0.333,,0.703
John Rennicke,1952,1.8333333333333333,0.16666666666666666,1.5,,,0.222,0.222,0.222,,0.333
Don Savage,1952,3.0,1.0,2.0,,,0.209,0.209,0.209,,0.643
Chuck Share,1952,3.9365079365079363,1.0476190476190477,5.253968253968254,,,0.322,0.322,0.322,,0.619
Zeke Sinicola,1952,0.6666666666666666,0.0,0.3333333333333333,,,0.25,0.25,0.25,,0.0
Whitey Skoog,1952,6.685714285714286,1.7142857142857142,3.4857142857142858,,,0.345,0.345,0.345,,0.789
Jim Slaughter,1952,5.25,0.8928571428571429,5.285714285714286,,,0.321,0.321,0.321,,0.603
Bill Tosheff,1952,9.353846153846154,3.4153846153846152,3.3230769230769233,,,0.327,0.327,0.327,,0.824
Bob Wilson,1952,3.746031746031746,1.7142857142857142,3.3333333333333335,,,0.299,0.299,0.299,,0.578
Jim Baechtold,1953,10.328125,2.40625,3.421875,,,0.39,0.39,0.39,,0.738
Jim Brasco,1953,3.85,1.05,1.2,,,0.266,0.266,0.266,,0.794
